,active,cc.y,color,data.properties.name,data.type,id,label,read_cam0:size,renderer1:size,size,source,target,type
0,False,,#baaba3,,registered address,255876,registered address,2,7.67308709675,1,467936,525230,
1,False,,#8a6960,,registered,768215,registered,2,7.67308709675,1,586932,16835,
2,,,#d48a60,Beneficiay,is officer of,62679,Beneficiay,2,7.67308709675,1,662786,16835,
3,,,#d48a60,Beneficial Owner,is officer of,68550,Beneficial Owner,2,7.67308709675,1,467936,16835,curvedArrow
4,,,#d48a60,Shareholder,is officer of,428634,Shareholder,2,7.67308709675,1,467931,16835,
5,,,#d48a60,Shareholder,is officer of,428635,Shareholder,2,7.67308709675,1,467933,16835,
6,,,#d48a60,Shareholder,is officer of,428636,Shareholder,2,7.67308709675,1,467932,16835,
7,,,#d48a60,Shareholder,is officer of,428637,Shareholder,2,7.67308709675,1,467934,16835,
8,,2.0,#d48a60,Shareholder,is officer of,428638,Shareholder,2,7.67308709675,1,467936,16835,curvedArrow
9,,,#d48a60,Shareholder,is officer of,428639,Shareholder,2,7.67308709675,1,344591,16835,
10,,,#d48a60,Shareholder,is officer of,428640,Shareholder,2,7.67308709675,1,467930,16835,
