,cc.y,color,data.properties.name,data.type,id,label,read_cam0:size,renderer1:size,size,source,target,type
0,,#8a6960,,registered,747584,registered,2,8.2666140656,1,593237,149608,
1,,#8a6960,,registered,739765,registered,2,8.2666140656,1,593237,279953,
2,,#d48a60,Shareholder,is officer of,564106,Shareholder,2,8.2666140656,1,345076,279953,curvedArrow
3,2.0,#d48a60,"Owner, director and shareholder",is officer of,68515,"Owner, director and shareholder",2,8.2666140656,1,345076,279953,curvedArrow
4,,#8a6960,,registered,746233,registered,2,8.2666140656,1,593237,136402,
5,,#d48a60,"Owner, director and shareholder",is officer of,68509,"Owner, director and shareholder",2,8.2666140656,1,345076,136402,
6,,#8a6960,,registered,752341,registered,2,8.2666140656,1,593237,204018,
7,,#d48a60,"Owner, director and shareholder",is officer of,68512,"Owner, director and shareholder",2,8.2666140656,1,345076,204018,
8,,#8a6960,,registered,743734,registered,2,8.2666140656,1,593237,44247,
9,,#d48a60,"Owner, director and shareholder",is officer of,68518,"Owner, director and shareholder",2,8.2666140656,1,345076,44247,
10,,#8a6960,,registered,746900,registered,2,8.2666140656,1,593237,137033,
11,,#d48a60,"Owner, director and shareholder",is officer of,68521,"Owner, director and shareholder",2,8.2666140656,1,345076,137033,
12,,#8a6960,,registered,745078,registered,2,8.2666140656,1,593237,62336,
13,,#d48a60,"Owner, director and shareholder",is officer of,68514,"Owner, director and shareholder",2,8.2666140656,1,345076,62336,
14,,#8a6960,,registered,744622,registered,2,8.2666140656,1,593237,100363,
15,,#d48a60,"Owner, director and shareholder",is officer of,68510,"Owner, director and shareholder",2,8.2666140656,1,345076,100363,
16,,#8a6960,,registered,756355,registered,2,8.2666140656,1,593237,62089,
17,,#d48a60,"Owner, director and shareholder",is officer of,68522,"Owner, director and shareholder",2,8.2666140656,1,345076,62089,
18,,#8a6960,,registered,748462,registered,2,8.2666140656,1,593237,197407,
19,,#d48a60,"Owner, director and shareholder",is officer of,68516,"Owner, director and shareholder",2,8.2666140656,1,345076,197407,
20,,#8a6960,,registered,809773,registered,2,8.2666140656,1,593237,33425,
21,,#d48a60,"Owner, director and shareholder",is officer of,68520,"Owner, director and shareholder",2,8.2666140656,1,345076,33425,
22,,#8a6960,,registered,749352,registered,2,8.2666140656,1,593237,150993,
23,,#d48a60,"Owner, director and shareholder",is officer of,68517,"Owner, director and shareholder",2,8.2666140656,1,345076,150993,
24,,#8a6960,,registered,805598,registered,2,8.2666140656,1,593237,245525,
25,,#d48a60,"Owner, director and shareholder",is officer of,68511,"Owner, director and shareholder",2,8.2666140656,1,345076,245525,curvedArrow
26,2.0,#d48a60,Shareholder,is officer of,472021,Shareholder,2,8.2666140656,1,345076,245525,curvedArrow
27,,#8a6960,,registered,814704,registered,2,8.2666140656,1,593237,111471,
28,,#d48a60,"Owner, director and shareholder",is officer of,68519,"Owner, director and shareholder",2,8.2666140656,1,345076,111471,
