,active,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.type,id,label,read_cam0:size,renderer1:size,size,source,target
0,False,#d48a60,,,Connected,is officer of,69534,is officer of,2,9.0966428259,1,667763,281770
1,False,#d48a60,,09/08/2012,Sole shareholder,is officer of,69535,is officer of,2,9.0966428259,1,667763,222255
2,False,#d48a60,,,Shareholder,is officer of,422430,is officer of,2,9.0966428259,1,467669,222255
3,False,#8a6960,,,,registered,674781,registered,2,9.0966428259,1,583381,281770
4,False,#8a6960,,,,registered,813371,registered,2,9.0966428259,1,583381,222255
5,False,#baaba3,,,,registered address,248261,registered address,2,9.0966428259,1,467669,560357
6,False,#d48a60,,,Shareholder,is officer of,443162,is officer of,2,9.0966428259,1,453647,281770
7,False,#d48a60,,,Shareholder,is officer of,443163,is officer of,2,9.0966428259,1,453646,281770
8,False,#d48a60,,,Shareholder,is officer of,443164,is officer of,2,9.0966428259,1,453645,281770
9,False,#d48a60,,,Shareholder,is officer of,443165,is officer of,2,9.0966428259,1,453648,281770
